source_video,task_family,premise,condition,statement_type,statement,input_mode,Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct [pure-video],google/gemma-4-12B-it,google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it [pure-video]
materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,target,Lucas will laser all of the stars.,pure-video,50,50,75,95,50,50,25,25,25,100,100,100
materials\animations\Homogeneity1_TargetPremise(Positive).m4v,Homogeneity1,TargetPremise,Positive,baseline,"Lucas will laser some, but not all, of the stars.",pure-video,50,50,50,50,50,50,65,25,65,100,0,100
materials\animations\Homogeneity1_TargetPremise(Negative).m4v,Homogeneity1,TargetPremise,Negative,target,Terry will not laser any of the stars.,pure-video,50,95,50,95,95,50,95,95,95,0,100,100
materials\animations\Homogeneity1_TargetPremise(Negative).m4v,Homogeneity1,TargetPremise,Negative,baseline,"Terry will laser some, but not all, of the stars.",pure-video,50,50,50,85,75,50,65,25,65,100,0,100
materials\animations\Homogeneity2_TargetPremise(Positive).m4v,Homogeneity2,TargetPremise,Positive,target,Misha will color all of the diamonds blue.,pure-video,95,50,50,95,50,50,25,25,25,100,10,100
materials\animations\Homogeneity2_TargetPremise(Positive).m4v,Homogeneity2,TargetPremise,Positive,baseline,"Misha will color some, but not all, of the diamonds blue.",pure-video,75,50,50,50,75,50,25,25,25,100,0,100
materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,target,Nathan will not color any of the diamonds blue.,pure-video,95,95,50,95,95,50,95,95,95,0,100,100
materials\animations\Homogeneity2_TargetPremise(Negative).m4v,Homogeneity2,TargetPremise,Negative,baseline,"Nathan will color some, but not all, of the diamonds blue.",pure-video,50,50,50,50,50,50,25,25,25,100,0,100
materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,target,The union representative is not currently in a meditative state.,pure-video,50,50,50,95,85,95,95,95,95,100,0,90
materials\animations\Presupposition1_TargetPremise(Question).m4v,Presupposition1,TargetPremise,Question,baseline,The union representative is currently in a meditative state.,pure-video,85,85,85,95,85,95,25,95,95,100,100,85
materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,target,None of the union representatives are currently in a meditative state.,pure-video,95,75,85,95,95,50,95,95,95,100,0,95
materials\animations\Presupposition1_TargetPremise(None).m4v,Presupposition1,TargetPremise,None,baseline,Some of the union representatives are currently in a meditative state.,pure-video,50,75,50,50,85,50,25,25,25,100,100,100
materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,target,The secretary's antenna is not currently spotted.,pure-video,50,50,50,95,85,50,95,95,95,100,100,100
materials\animations\Presupposition2_TargetPremise(Question).m4v,Presupposition2,TargetPremise,Question,baseline,The secretary's antenna is currently spotted.,pure-video,85,75,50,50,85,50,25,25,95,100,0,100
materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,target,None of the secretaries' antennae are currently spotted.,pure-video,95,75,95,95,85,50,95,25,95,100,100,100
materials\animations\Presupposition2_TargetPremise(None).m4v,Presupposition2,TargetPremise,None,baseline,Some of the secretaries' antennae are currently spotted.,pure-video,50,50,0,50,50,50,25,25,0,1,0,1
materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,target,"This week, John will punch, but not a lot.",pure-video,85,50,50,50,50,35,25,65,25,10,100,10
materials\animations\ScalarImplicature1_TargetPremise(Positive).m4v,ScalarImplicature1,TargetPremise,Positive,baseline,"This week, John will punch a lot.",pure-video,50,50,75,50,50,50,25,25,95,100,100,90
materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,target,"This week, John will punch, but not a lot.",pure-video,50,50,50,50,50,35,25,25,25,10,0,10
materials\animations\ScalarImplicature1_ControlPremise(Positive).m4v,ScalarImplicature1,ControlPremise,Positive,baseline,"This week, John will punch a lot.",pure-video,95,50,50,95,50,50,95,25,85,100,100,95
materials\animations\ScalarImplicature1_TargetPremise(Negative).m4v,ScalarImplicature1,TargetPremise,Negative,target,"This week, Jenny will punch, but not a lot.",pure-video,50,50,25,50,50,50,65,25,25,100,90,10
materials\animations\ScalarImplicature1_TargetPremise(Negative).m4v,ScalarImplicature1,TargetPremise,Negative,baseline,"This week, Jenny will not punch at all.",pure-video,20,50,50,95,95,95,25,25,25,100,100,100
materials\animations\ScalarImplicature1_ControlPremise(Negative).m4v,ScalarImplicature1,ControlPremise,Negative,target,"This week, Jenny will punch, but not a lot.",pure-video,50,50,25,75,50,50,25,25,25,10,90,100
materials\animations\ScalarImplicature1_ControlPremise(Negative).m4v,ScalarImplicature1,ControlPremise,Negative,baseline,"This week, Jenny will not punch at all.",pure-video,50,50,50,95,95,95,25,25,25,100,100,100
materials\animations\ScalarImplicature2_TargetPremise(Positive).m4v,ScalarImplicature2,TargetPremise,Positive,target,"This week, Peter will shoot at targets, but not many.",pure-video,90,75,50,50,50,50,85,25,25,100,100,100
materials\animations\ScalarImplicature2_TargetPremise(Positive).m4v,ScalarImplicature2,TargetPremise,Positive,baseline,"This week, Peter will shoot at many targets.",pure-video,50,25,50,50,25,50,20,20,95,100,1,90
materials\animations\ScalarImplicature2_ControlPremise(Positive).m4v,ScalarImplicature2,ControlPremise,Positive,target,"This week, Peter will shoot at targets, but not many.",pure-video,50,50,50,50,50,50,25,25,25,100,0,10
materials\animations\ScalarImplicature2_ControlPremise(Positive).m4v,ScalarImplicature2,ControlPremise,Positive,baseline,"This week, Peter will shoot at many targets.",pure-video,95,75,50,85,50,50,95,25,95,100,100,95
materials\animations\ScalarImplicature2_TargetPremise(Negative).m4v,ScalarImplicature2,TargetPremise,Negative,target,"This week, Polly will shoot at targets, but not many.",pure-video,50,50,50,50,50,50,50,25,25,100,0,10
materials\animations\ScalarImplicature2_TargetPremise(Negative).m4v,ScalarImplicature2,TargetPremise,Negative,baseline,"This week, Polly will not shoot at any targets.",pure-video,50,50,95,50,95,50,25,25,95,100,100,100
materials\animations\ScalarImplicature2_ControlPremise(Negative).m4v,ScalarImplicature2,ControlPremise,Negative,target,"This week, Polly will shoot at targets, but not many.",pure-video,75,50,50,50,50,50,50,25,25,100,100,10
materials\animations\ScalarImplicature2_ControlPremise(Negative).m4v,ScalarImplicature2,ControlPremise,Negative,baseline,"This week, Polly will not shoot at any targets.",pure-video,95,25,50,95,95,50,95,25,95,100,0,100
materials\animations\ScalarImplicature3_TargetPremise(Positive).m4v,ScalarImplicature3,TargetPremise,Positive,target,"This week, Mabel will paint swirls, but not many.",pure-video,95,75,50,50,50,50,25,85,25,100,100,100
materials\animations\ScalarImplicature3_TargetPremise(Positive).m4v,ScalarImplicature3,TargetPremise,Positive,baseline,"This week, Mabel will paint many swirls.",pure-video,50,25,50,95,25,50,25,20,25,100,1,1
materials\animations\ScalarImplicature3_ControlPremise(Positive).m4v,ScalarImplicature3,ControlPremise,Positive,target,"This week, Mabel will paint swirls, but not many.",pure-video,50,30,50,50,50,50,25,25,25,10,10,10
materials\animations\ScalarImplicature3_ControlPremise(Positive).m4v,ScalarImplicature3,ControlPremise,Positive,baseline,"This week, Mabel will paint many swirls.",pure-video,95,85,95,95,85,50,95,85,95,100,100,100
materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",pure-video,50,50,50,50,50,50,65,25,65,10,1,1
materials\animations\ScalarImplicature3_TargetPremise(Negative).m4v,ScalarImplicature3,TargetPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",pure-video,100,75,50,95,50,50,25,25,95,100,100,0
materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,target,"This week, Mikey will paint swirls, but not many.",pure-video,85,50,50,50,50,50,25,25,25,100,100,100
materials\animations\ScalarImplicature3_ControlPremise(Negative).m4v,ScalarImplicature3,ControlPremise,Negative,baseline,"This week, Mikey will not paint any swirls.",pure-video,50,20,50,95,85,50,25,25,95,100,100,100
materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,target,"If Cheryl annoys a friend today, it will involve flashing a pink laser.",pure-video,75,75,85,95,85,50,85,85,25,100,100,100
materials\animations\Supplement1_TargetPremise.m4v,Supplement1,TargetPremise,,baseline,"If Cheryl annoys a friend today, it won't necessarily involve flashing a pink laser.",pure-video,50,50,50,50,50,50,25,25,95,100,100,100
materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,target,"If Mitchell annoys a friend today, it will involve flashing a pink laser.",pure-video,95,50,85,85,85,50,95,85,65,100,100,100
materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,baseline,"If Mitchell annoys a friend today, it won't necessarily involve flashing a pink laser.",pure-video,50,50,50,50,50,50,25,25,95,100,100,100
materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,target,"If Mason successfully blasts his laser, it will involve flashing a purple laser.",pure-video,95,95,85,95,85,50,95,95,85,100,100,100
materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,baseline,"If Mason successfully blasts his laser, it won't necessarily involve flashing a purple laser.",pure-video,50,50,50,50,50,50,25,25,25,100,0,90
materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,target,"If Tegan successfully blasts her laser, it will involve flashing a purple laser.",pure-video,95,75,85,85,85,50,95,95,85,100,100,100
materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,baseline,"If Tegan successfully blasts her laser, it won't necessarily involve flashing a purple laser.",pure-video,50,50,50,35,50,30,25,25,25,100,0,100
