raw_model,input_mode,inference_group,condition,premise,statement_type,model_endorsement,human_endorsement,n_model_videos
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Positive,TargetPremise,target,66.667,82.596,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Positive,TargetPremise,baseline,33.333,17.805,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Positive,ControlPremise,target,50.000,15.845,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Positive,ControlPremise,baseline,78.333,90.636,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Negative,TargetPremise,target,50.000,67.704,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Negative,TargetPremise,baseline,58.333,36.643,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Negative,ControlPremise,target,50.000,37.855,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Scalar implication,Negative,ControlPremise,baseline,50.000,57.488,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Presupposition,Question,TargetPremise,target,50.000,64.439,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Presupposition,Question,TargetPremise,baseline,80.000,37.641,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Presupposition,None,TargetPremise,target,75.000,73.556,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Presupposition,None,TargetPremise,baseline,62.500,22.465,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Supplement,Unembedded,TargetPremise,target,67.500,80.197,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Supplement,Unembedded,TargetPremise,baseline,50.000,28.409,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Supplement,Unembedded,ControlPremise,target,62.500,76.687,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Supplement,Unembedded,ControlPremise,baseline,50.000,33.924,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Homogeneity,Positive,TargetPremise,target,50.000,66.439,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Homogeneity,Positive,TargetPremise,baseline,50.000,40.157,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Homogeneity,Negative,TargetPremise,target,82.500,71.515,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,Homogeneity,Negative,TargetPremise,baseline,50.000,25.414,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Positive,TargetPremise,target,50.000,82.596,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Positive,TargetPremise,baseline,58.333,17.805,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Positive,ControlPremise,target,50.000,15.845,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Positive,ControlPremise,baseline,63.333,90.636,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Negative,TargetPremise,target,50.000,67.704,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Negative,TargetPremise,baseline,50.000,36.643,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Negative,ControlPremise,target,50.000,37.855,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Scalar implication,Negative,ControlPremise,baseline,50.000,57.488,3
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Presupposition,Question,TargetPremise,target,50.000,64.439,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Presupposition,Question,TargetPremise,baseline,62.500,37.641,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Presupposition,None,TargetPremise,target,82.500,73.556,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Presupposition,None,TargetPremise,baseline,25.000,22.465,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Supplement,Unembedded,TargetPremise,target,82.500,80.197,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Supplement,Unembedded,TargetPremise,baseline,50.000,28.409,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Supplement,Unembedded,ControlPremise,target,82.500,76.687,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Supplement,Unembedded,ControlPremise,baseline,50.000,33.924,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Homogeneity,Positive,TargetPremise,target,62.500,66.439,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Homogeneity,Positive,TargetPremise,baseline,50.000,40.157,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Homogeneity,Negative,TargetPremise,target,50.000,71.515,2
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,Homogeneity,Negative,TargetPremise,baseline,50.000,25.414,2
Qwen/Qwen2.5-VL-32B-Instruct,split,Scalar implication,Positive,TargetPremise,target,83.333,82.596,3
Qwen/Qwen2.5-VL-32B-Instruct,split,Scalar implication,Positive,TargetPremise,baseline,25.000,17.805,3
Qwen/Qwen2.5-VL-32B-Instruct,split,Scalar implication,Positive,ControlPremise,target,50.000,15.845,3
Qwen/Qwen2.5-VL-32B-Instruct,split,Scalar implication,Positive,ControlPremise,baseline,88.333,90.636,3
Qwen/Qwen2.5-VL-32B-Instruct,split,Scalar implication,Negative,TargetPremise,target,50.000,67.704,3
Qwen/Qwen2.5-VL-32B-Instruct,split,Scalar implication,Negative,TargetPremise,baseline,33.333,36.643,3
Qwen/Qwen2.5-VL-32B-Instruct,split,Scalar implication,Negative,ControlPremise,target,58.333,37.855,3
Qwen/Qwen2.5-VL-32B-Instruct,split,Scalar implication,Negative,ControlPremise,baseline,83.333,57.488,3
Qwen/Qwen2.5-VL-32B-Instruct,split,Presupposition,Question,TargetPremise,target,50.000,64.439,2
Qwen/Qwen2.5-VL-32B-Instruct,split,Presupposition,Question,TargetPremise,baseline,80.000,37.641,2
Qwen/Qwen2.5-VL-32B-Instruct,split,Presupposition,None,TargetPremise,target,75.000,73.556,2
Qwen/Qwen2.5-VL-32B-Instruct,split,Presupposition,None,TargetPremise,baseline,50.000,22.465,2
Qwen/Qwen2.5-VL-32B-Instruct,split,Supplement,Unembedded,TargetPremise,target,75.000,80.197,2
Qwen/Qwen2.5-VL-32B-Instruct,split,Supplement,Unembedded,TargetPremise,baseline,50.000,28.409,2
Qwen/Qwen2.5-VL-32B-Instruct,split,Supplement,Unembedded,ControlPremise,target,90.000,76.687,2
Qwen/Qwen2.5-VL-32B-Instruct,split,Supplement,Unembedded,ControlPremise,baseline,50.000,33.924,2
Qwen/Qwen2.5-VL-32B-Instruct,split,Homogeneity,Positive,TargetPremise,target,25.000,66.439,2
Qwen/Qwen2.5-VL-32B-Instruct,split,Homogeneity,Positive,TargetPremise,baseline,62.500,40.157,2
Qwen/Qwen2.5-VL-32B-Instruct,split,Homogeneity,Negative,TargetPremise,target,75.000,71.515,2
Qwen/Qwen2.5-VL-32B-Instruct,split,Homogeneity,Negative,TargetPremise,baseline,50.000,25.414,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Scalar implication,Positive,TargetPremise,target,50.000,82.596,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Scalar implication,Positive,TargetPremise,baseline,33.333,17.805,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Scalar implication,Positive,ControlPremise,target,50.000,15.845,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Scalar implication,Positive,ControlPremise,baseline,61.667,90.636,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Scalar implication,Negative,TargetPremise,target,50.000,67.704,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Scalar implication,Negative,TargetPremise,baseline,50.000,36.643,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Scalar implication,Negative,ControlPremise,target,50.000,37.855,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Scalar implication,Negative,ControlPremise,baseline,61.667,57.488,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Presupposition,Question,TargetPremise,target,67.500,64.439,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Presupposition,Question,TargetPremise,baseline,80.000,37.641,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Presupposition,None,TargetPremise,target,67.500,73.556,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Presupposition,None,TargetPremise,baseline,62.500,22.465,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Supplement,Unembedded,TargetPremise,target,85.000,80.197,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Supplement,Unembedded,TargetPremise,baseline,50.000,28.409,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Supplement,Unembedded,ControlPremise,target,85.000,76.687,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Supplement,Unembedded,ControlPremise,baseline,50.000,33.924,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Homogeneity,Positive,TargetPremise,target,50.000,66.439,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Homogeneity,Positive,TargetPremise,baseline,62.500,40.157,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Homogeneity,Negative,TargetPremise,target,72.500,71.515,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,Homogeneity,Negative,TargetPremise,baseline,62.500,25.414,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Scalar implication,Positive,TargetPremise,target,50.000,82.596,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Scalar implication,Positive,TargetPremise,baseline,50.000,17.805,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Scalar implication,Positive,ControlPremise,target,50.000,15.845,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Scalar implication,Positive,ControlPremise,baseline,50.000,90.636,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Scalar implication,Negative,TargetPremise,target,50.000,67.704,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Scalar implication,Negative,TargetPremise,baseline,50.000,36.643,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Scalar implication,Negative,ControlPremise,target,50.000,37.855,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Scalar implication,Negative,ControlPremise,baseline,50.000,57.488,3
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Presupposition,Question,TargetPremise,target,50.000,64.439,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Presupposition,Question,TargetPremise,baseline,50.000,37.641,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Presupposition,None,TargetPremise,target,50.000,73.556,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Presupposition,None,TargetPremise,baseline,50.000,22.465,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Supplement,Unembedded,TargetPremise,target,50.000,80.197,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Supplement,Unembedded,TargetPremise,baseline,50.000,28.409,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Supplement,Unembedded,ControlPremise,target,50.000,76.687,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Supplement,Unembedded,ControlPremise,baseline,50.000,33.924,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Homogeneity,Positive,TargetPremise,target,50.000,66.439,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Homogeneity,Positive,TargetPremise,baseline,50.000,40.157,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Homogeneity,Negative,TargetPremise,target,50.000,71.515,2
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,Homogeneity,Negative,TargetPremise,baseline,50.000,25.414,2
Qwen/Qwen2.5-VL-3B-Instruct,split,Scalar implication,Positive,TargetPremise,target,50.000,82.596,3
Qwen/Qwen2.5-VL-3B-Instruct,split,Scalar implication,Positive,TargetPremise,baseline,50.000,17.805,3
Qwen/Qwen2.5-VL-3B-Instruct,split,Scalar implication,Positive,ControlPremise,target,50.000,15.845,3
Qwen/Qwen2.5-VL-3B-Instruct,split,Scalar implication,Positive,ControlPremise,baseline,88.333,90.636,3
Qwen/Qwen2.5-VL-3B-Instruct,split,Scalar implication,Negative,TargetPremise,target,50.000,67.704,3
Qwen/Qwen2.5-VL-3B-Instruct,split,Scalar implication,Negative,TargetPremise,baseline,50.000,36.643,3
Qwen/Qwen2.5-VL-3B-Instruct,split,Scalar implication,Negative,ControlPremise,target,50.000,37.855,3
Qwen/Qwen2.5-VL-3B-Instruct,split,Scalar implication,Negative,ControlPremise,baseline,76.667,57.488,3
Qwen/Qwen2.5-VL-3B-Instruct,split,Presupposition,Question,TargetPremise,target,50.000,64.439,2
Qwen/Qwen2.5-VL-3B-Instruct,split,Presupposition,Question,TargetPremise,baseline,67.500,37.641,2
Qwen/Qwen2.5-VL-3B-Instruct,split,Presupposition,None,TargetPremise,target,97.500,73.556,2
Qwen/Qwen2.5-VL-3B-Instruct,split,Presupposition,None,TargetPremise,baseline,50.000,22.465,2
Qwen/Qwen2.5-VL-3B-Instruct,split,Supplement,Unembedded,TargetPremise,target,85.000,80.197,2
Qwen/Qwen2.5-VL-3B-Instruct,split,Supplement,Unembedded,TargetPremise,baseline,50.000,28.409,2
Qwen/Qwen2.5-VL-3B-Instruct,split,Supplement,Unembedded,ControlPremise,target,85.000,76.687,2
Qwen/Qwen2.5-VL-3B-Instruct,split,Supplement,Unembedded,ControlPremise,baseline,50.000,33.924,2
Qwen/Qwen2.5-VL-3B-Instruct,split,Homogeneity,Positive,TargetPremise,target,67.500,66.439,2
Qwen/Qwen2.5-VL-3B-Instruct,split,Homogeneity,Positive,TargetPremise,baseline,50.000,40.157,2
Qwen/Qwen2.5-VL-3B-Instruct,split,Homogeneity,Negative,TargetPremise,target,72.500,71.515,2
Qwen/Qwen2.5-VL-3B-Instruct,split,Homogeneity,Negative,TargetPremise,baseline,62.500,25.414,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Scalar implication,Positive,TargetPremise,target,46.667,82.596,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Scalar implication,Positive,TargetPremise,baseline,6.667,17.805,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Scalar implication,Positive,ControlPremise,target,13.333,15.845,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Scalar implication,Positive,ControlPremise,baseline,35.000,90.636,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Scalar implication,Negative,TargetPremise,target,20.000,67.704,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Scalar implication,Negative,TargetPremise,baseline,13.333,36.643,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Scalar implication,Negative,ControlPremise,target,30.000,37.855,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Scalar implication,Negative,ControlPremise,baseline,13.333,57.488,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Presupposition,Question,TargetPremise,target,85.000,64.439,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Presupposition,Question,TargetPremise,baseline,55.000,37.641,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Presupposition,None,TargetPremise,target,57.500,73.556,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Presupposition,None,TargetPremise,baseline,22.500,22.465,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Supplement,Unembedded,TargetPremise,target,85.000,80.197,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Supplement,Unembedded,TargetPremise,baseline,12.500,28.409,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Supplement,Unembedded,ControlPremise,target,85.000,76.687,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Supplement,Unembedded,ControlPremise,baseline,37.500,33.924,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Homogeneity,Positive,TargetPremise,target,20.000,66.439,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Homogeneity,Positive,TargetPremise,baseline,22.500,40.157,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Homogeneity,Negative,TargetPremise,target,95.000,71.515,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,Homogeneity,Negative,TargetPremise,baseline,22.500,25.414,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Scalar implication,Positive,TargetPremise,target,20.000,82.596,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Scalar implication,Positive,TargetPremise,baseline,83.333,17.805,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Scalar implication,Positive,ControlPremise,target,30.000,15.845,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Scalar implication,Positive,ControlPremise,baseline,83.333,90.636,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Scalar implication,Negative,TargetPremise,target,50.000,67.704,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Scalar implication,Negative,TargetPremise,baseline,78.333,36.643,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Scalar implication,Negative,ControlPremise,target,50.000,37.855,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Scalar implication,Negative,ControlPremise,baseline,78.333,57.488,3
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Presupposition,Question,TargetPremise,target,90.000,64.439,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Presupposition,Question,TargetPremise,baseline,72.500,37.641,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Presupposition,None,TargetPremise,target,95.000,73.556,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Presupposition,None,TargetPremise,baseline,0.000,22.465,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Supplement,Unembedded,TargetPremise,target,60.000,80.197,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Supplement,Unembedded,TargetPremise,baseline,57.500,28.409,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Supplement,Unembedded,ControlPremise,target,77.500,76.687,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Supplement,Unembedded,ControlPremise,baseline,55.000,33.924,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Homogeneity,Positive,TargetPremise,target,10.000,66.439,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Homogeneity,Positive,TargetPremise,baseline,40.000,40.157,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Homogeneity,Negative,TargetPremise,target,95.000,71.515,2
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,Homogeneity,Negative,TargetPremise,baseline,25.000,25.414,2
Qwen/Qwen2.5-VL-7B-Instruct,split,Scalar implication,Positive,TargetPremise,target,63.333,82.596,3
Qwen/Qwen2.5-VL-7B-Instruct,split,Scalar implication,Positive,TargetPremise,baseline,6.667,17.805,3
Qwen/Qwen2.5-VL-7B-Instruct,split,Scalar implication,Positive,ControlPremise,target,30.000,15.845,3
Qwen/Qwen2.5-VL-7B-Instruct,split,Scalar implication,Positive,ControlPremise,baseline,93.333,90.636,3
Qwen/Qwen2.5-VL-7B-Instruct,split,Scalar implication,Negative,TargetPremise,target,53.333,67.704,3
Qwen/Qwen2.5-VL-7B-Instruct,split,Scalar implication,Negative,TargetPremise,baseline,23.333,36.643,3
Qwen/Qwen2.5-VL-7B-Instruct,split,Scalar implication,Negative,ControlPremise,target,60.000,37.855,3
Qwen/Qwen2.5-VL-7B-Instruct,split,Scalar implication,Negative,ControlPremise,baseline,68.333,57.488,3
Qwen/Qwen2.5-VL-7B-Instruct,split,Presupposition,Question,TargetPremise,target,95.000,64.439,2
Qwen/Qwen2.5-VL-7B-Instruct,split,Presupposition,Question,TargetPremise,baseline,12.500,37.641,2
Qwen/Qwen2.5-VL-7B-Instruct,split,Presupposition,None,TargetPremise,target,95.000,73.556,2
Qwen/Qwen2.5-VL-7B-Instruct,split,Presupposition,None,TargetPremise,baseline,0.000,22.465,2
Qwen/Qwen2.5-VL-7B-Instruct,split,Supplement,Unembedded,TargetPremise,target,90.000,80.197,2
Qwen/Qwen2.5-VL-7B-Instruct,split,Supplement,Unembedded,TargetPremise,baseline,20.000,28.409,2
Qwen/Qwen2.5-VL-7B-Instruct,split,Supplement,Unembedded,ControlPremise,target,95.000,76.687,2
Qwen/Qwen2.5-VL-7B-Instruct,split,Supplement,Unembedded,ControlPremise,baseline,10.000,33.924,2
Qwen/Qwen2.5-VL-7B-Instruct,split,Homogeneity,Positive,TargetPremise,target,35.000,66.439,2
Qwen/Qwen2.5-VL-7B-Instruct,split,Homogeneity,Positive,TargetPremise,baseline,60.000,40.157,2
Qwen/Qwen2.5-VL-7B-Instruct,split,Homogeneity,Negative,TargetPremise,target,55.000,71.515,2
Qwen/Qwen2.5-VL-7B-Instruct,split,Homogeneity,Negative,TargetPremise,baseline,60.000,25.414,2
google/gemma-4-12B-it,pure-text,Scalar implication,Positive,TargetPremise,target,100.000,82.596,3
google/gemma-4-12B-it,pure-text,Scalar implication,Positive,TargetPremise,baseline,0.000,17.805,3
google/gemma-4-12B-it,pure-text,Scalar implication,Positive,ControlPremise,target,0.000,15.845,3
google/gemma-4-12B-it,pure-text,Scalar implication,Positive,ControlPremise,baseline,100.000,90.636,3
google/gemma-4-12B-it,pure-text,Scalar implication,Negative,TargetPremise,target,33.333,67.704,3
google/gemma-4-12B-it,pure-text,Scalar implication,Negative,TargetPremise,baseline,100.000,36.643,3
google/gemma-4-12B-it,pure-text,Scalar implication,Negative,ControlPremise,target,100.000,37.855,3
google/gemma-4-12B-it,pure-text,Scalar implication,Negative,ControlPremise,baseline,66.667,57.488,3
google/gemma-4-12B-it,pure-text,Presupposition,Question,TargetPremise,target,50.000,64.439,2
google/gemma-4-12B-it,pure-text,Presupposition,Question,TargetPremise,baseline,50.000,37.641,2
google/gemma-4-12B-it,pure-text,Presupposition,None,TargetPremise,target,50.000,73.556,2
google/gemma-4-12B-it,pure-text,Presupposition,None,TargetPremise,baseline,50.000,22.465,2
google/gemma-4-12B-it,pure-text,Supplement,Unembedded,TargetPremise,target,100.000,80.197,2
google/gemma-4-12B-it,pure-text,Supplement,Unembedded,TargetPremise,baseline,50.000,28.409,2
google/gemma-4-12B-it,pure-text,Supplement,Unembedded,ControlPremise,target,100.000,76.687,2
google/gemma-4-12B-it,pure-text,Supplement,Unembedded,ControlPremise,baseline,50.000,33.924,2
google/gemma-4-12B-it,pure-text,Homogeneity,Positive,TargetPremise,target,50.000,66.439,2
google/gemma-4-12B-it,pure-text,Homogeneity,Positive,TargetPremise,baseline,0.000,40.157,2
google/gemma-4-12B-it,pure-text,Homogeneity,Negative,TargetPremise,target,100.000,71.515,2
google/gemma-4-12B-it,pure-text,Homogeneity,Negative,TargetPremise,baseline,0.000,25.414,2
google/gemma-4-12B-it,pure-video,Scalar implication,Positive,TargetPremise,target,36.667,82.596,3
google/gemma-4-12B-it,pure-video,Scalar implication,Positive,TargetPremise,baseline,63.333,17.805,3
google/gemma-4-12B-it,pure-video,Scalar implication,Positive,ControlPremise,target,33.333,15.845,3
google/gemma-4-12B-it,pure-video,Scalar implication,Positive,ControlPremise,baseline,96.667,90.636,3
google/gemma-4-12B-it,pure-video,Scalar implication,Negative,TargetPremise,target,0.000,67.704,3
google/gemma-4-12B-it,pure-video,Scalar implication,Negative,TargetPremise,baseline,33.333,36.643,3
google/gemma-4-12B-it,pure-video,Scalar implication,Negative,ControlPremise,target,33.333,37.855,3
google/gemma-4-12B-it,pure-video,Scalar implication,Negative,ControlPremise,baseline,0.000,57.488,3
google/gemma-4-12B-it,pure-video,Presupposition,Question,TargetPremise,target,100.000,64.439,2
google/gemma-4-12B-it,pure-video,Presupposition,Question,TargetPremise,baseline,100.000,37.641,2
google/gemma-4-12B-it,pure-video,Presupposition,None,TargetPremise,target,100.000,73.556,2
google/gemma-4-12B-it,pure-video,Presupposition,None,TargetPremise,baseline,0.000,22.465,2
google/gemma-4-12B-it,pure-video,Supplement,Unembedded,TargetPremise,target,100.000,80.197,2
google/gemma-4-12B-it,pure-video,Supplement,Unembedded,TargetPremise,baseline,100.000,28.409,2
google/gemma-4-12B-it,pure-video,Supplement,Unembedded,ControlPremise,target,100.000,76.687,2
google/gemma-4-12B-it,pure-video,Supplement,Unembedded,ControlPremise,baseline,100.000,33.924,2
google/gemma-4-12B-it,pure-video,Homogeneity,Positive,TargetPremise,target,50.000,66.439,2
google/gemma-4-12B-it,pure-video,Homogeneity,Positive,TargetPremise,baseline,50.000,40.157,2
google/gemma-4-12B-it,pure-video,Homogeneity,Negative,TargetPremise,target,100.000,71.515,2
google/gemma-4-12B-it,pure-video,Homogeneity,Negative,TargetPremise,baseline,50.000,25.414,2
google/gemma-4-12B-it,split,Scalar implication,Positive,TargetPremise,target,66.667,82.596,3
google/gemma-4-12B-it,split,Scalar implication,Positive,TargetPremise,baseline,66.667,17.805,3
google/gemma-4-12B-it,split,Scalar implication,Positive,ControlPremise,target,33.333,15.845,3
google/gemma-4-12B-it,split,Scalar implication,Positive,ControlPremise,baseline,100.000,90.636,3
google/gemma-4-12B-it,split,Scalar implication,Negative,TargetPremise,target,66.667,67.704,3
google/gemma-4-12B-it,split,Scalar implication,Negative,TargetPremise,baseline,0.000,36.643,3
google/gemma-4-12B-it,split,Scalar implication,Negative,ControlPremise,target,33.333,37.855,3
google/gemma-4-12B-it,split,Scalar implication,Negative,ControlPremise,baseline,0.000,57.488,3
google/gemma-4-12B-it,split,Presupposition,Question,TargetPremise,target,50.000,64.439,2
google/gemma-4-12B-it,split,Presupposition,Question,TargetPremise,baseline,50.000,37.641,2
google/gemma-4-12B-it,split,Presupposition,None,TargetPremise,target,100.000,73.556,2
google/gemma-4-12B-it,split,Presupposition,None,TargetPremise,baseline,50.000,22.465,2
google/gemma-4-12B-it,split,Supplement,Unembedded,TargetPremise,target,100.000,80.197,2
google/gemma-4-12B-it,split,Supplement,Unembedded,TargetPremise,baseline,100.000,28.409,2
google/gemma-4-12B-it,split,Supplement,Unembedded,ControlPremise,target,100.000,76.687,2
google/gemma-4-12B-it,split,Supplement,Unembedded,ControlPremise,baseline,100.000,33.924,2
google/gemma-4-12B-it,split,Homogeneity,Positive,TargetPremise,target,50.000,66.439,2
google/gemma-4-12B-it,split,Homogeneity,Positive,TargetPremise,baseline,50.000,40.157,2
google/gemma-4-12B-it,split,Homogeneity,Negative,TargetPremise,target,0.000,71.515,2
google/gemma-4-12B-it,split,Homogeneity,Negative,TargetPremise,baseline,100.000,25.414,2
